name,shrt_rng,lng_rng,shrt_acc,lng_acc,str,ap,dmg,ammo,trts
Autopistol,4’’,12’’,+1,-,3,-,1,4+,"Rapid Fire (1), Sidearm"
Compact autopistol,4’’,12’’,+1,-,2,-,1,4+,"Rapid Fire (1), Scarce"
- autopistol,4’’,12’’,+1,-,3,-,1,4+,"Combi, Rapid Fire (1), Sidearm"
- bolt pistol,6’’,12’’,+1,-,4,-1,2,6+,"Combi, Sidearm"
- stub gun,6’’,12’’,+2,-,3,-,1,4+,"Combi, Plentiful, Sidearm"
- hand flamer,-,T,-,-,3,-,1,5+,"Blaze, Combi, Template, Unstable"
- plasma pistol,6’’,12’’,+2,-,5,-1,2,5+,"Combi, Scarce, Sidearm"
- solid ammo,4’’,12’’,+1,-,3,-,1,4+,"Rapid Fire (1), Sidearm, Silent"
- fleshbane ammo,4’’,12’’,-,-,-,-,-,6+,"Rapid Fire (1), Scarce, Sidearm, Silent,"
Hand flamer,-,T,-,-,3,-,1,5+,"Blaze, Template"
Laspistol,8’’,12’’,+1,-,3,-,1,2+,"Plentiful, Sidearm"
Las sub-carbine,4’’,12’’,+1,-,3,-,1,4+,"Plentiful, Rapid Fire (1), Sidearm"
Needle Pistol,4’’,9’’,+2,-,4,-1,-,6+,"Scarce, Sidearm, Silent, Toxin"
- low,6’’,12’’,+2,-,5,-1,2,5+,"Scarce, Sidearm"
- maximal,6’’,12’’,+1,-,7,-2,3,5+,"Scarce, Sidearm, Unstable"
Reclaimed autopistol,4’’,12’’,+1,-,3,-,1,5+,"Rapid Fire (1), Sidearm"
Stub gun,6’’,12’’,+2,-,3,-,1,4+,"Plentiful, Sidearm"
- with dumdum rounds,5’’,10’’,+1,-,4,-,1,4+,"Limited, Sidearm"
Web pistol,-,T,-,-,4,-,-,6+,"Silent, Template, Web"
(Van Saar Cyberarchnid),-,T,-,-,2,-,-,6+,"Scarce, Template, Web"
- Salvo fire,4’’,12’’,+1,-,4,-,2,4+,"Knockback, Rapid Fire (1)"
- Shredder blast,-,T,-,-,2,-,1,4+,"Scattershot, Template"
- Firestorm,-,T,-,-,5,-1,1,6+,"Blaze, Limited, Template"
Las carbine,10’’,24’’,+1,-,3,-,1,4+,"Plentiful, Rapid Fire (1)"
Polearm,E,2’’,-1,-,+1,-,1,-,"Melee, Unwieldy, Versatile"
Polearm,E,2’’,-1,-,+1,-,1,-,"Melee, Unwieldy, Versatile"
- Grape shot,-,T,-,-,2,-,1,6+,"Plentiful, Template, Scattershot"
- Purgation shot,-,T,-,-,3,-,1,6+,"Blaze, Template, Scarce"
- Emperor's Wrath,8’’,12’’,-,-1,4,-1,2,4+,"Knockback, Pulverise"
Sawn-off shotgun,4’’,8’’,+2,-,3,-,1,6+,"Plentiful, Scattershot"
- Acid rounds,4’’,16’’,+1,-,3,-1,1,4+,"Blaze, Scattershot"
- Inferno ammo,4’’,16’’,+1,-,4,-,2,5+,"Blaze, Limited"
- broad burst,4’’,8’’,+2,-,2,-,1,4+,"Plentiful, Scattershot"
- short burst,8’’,16’’,+1,-,4,-,2,4+,"Knockback, Plentiful"
Throwing knives,Sx2,Sx4,-,-1,-,-1,-,5+,"Scarce, Silent, Toxin"
- autogun,8’’,24’’,+1,-,3,-,1,4+,"Combi, Rapid Fire (1)"
- bolter,12’’,24’’,+1,-,4,-1,2,6+,"Combi, Rapid File (1)"
- lasgun,18’’,24’’,+1,-,3,-,1,2+,"Combi, Plentiful"
